Vespadelus douglasorum
Vespertilio sinensis
Parti-coloured bat
Vespertilio murinus
Aethalops aequalis
Aethalops alecto
Alionycteris paucidentata
Balionycteris seimundi
Balionycteris maculata
Chironax melanocephalus
Cynopterus horsfieldii
Cynopterus titthaecheilus
Cynopterus brachyotis
Cynopterus minutus
Cynopterus nusatenggara
Cynopterus luzoniensis
Dyacopterus brooksi
Dyacopterus rickarti
Dyacopterus spadiceus
Haplonycteris fischeri
Latidens salimalii
Megaerops kusnotoi
Megaerops niphanae
Megaerops ecaudatus
Megaerops wetmorei
Otopteropus cartilagonodus
Penthetor lucasi
Ptenochirus jagori
Ptenochirus minor
Sphaerias blanfordi
Thoopterus suhaniahae
Thoopterus nigrescens
Eidolon dupreanum
Eidolon helvum
Aproteles bulmerae
Boneia bidens
Dobsonia anderseni
Dobsonia moluccensis
Dobsonia beauforti
Dobsonia emersa
Dobsonia viridis
Dobsonia crenulata
Dobsonia minor
Dobsonia praedatrix
Dobsonia magna
Dobsonia pannietensis
Dobsonia chapmani
Dobsonia inermis
Dobsonia exoleta
Dobsonia peronii
Harpyionycteris whiteheadi
Harpyionycteris celebensis
Nyctimene aello
Nyctimene albiventer
Nyctimene masalai
Nyctimene draconilla
Nyctimene robinsoni
Nyctimene major
Nyctimene keasti
Nyctimene minutus
Nyctimene malaitensis
Nyctimene certans
Nyctimene sanctacrucis
Nyctimene wrightae
Nyctimene cephalotes
Nyctimene rabori
Nyctimene cyclotis
Nyctimene vizcaccia
Paranyctimene raptor
Paranyctimene tenax
Acerodon jubatus
Acerodon leucotis
Acerodon celebensis
Acerodon mackloti
Acerodon humilis
Desmalopex microleucopterus
Mirimiri acrodonta
Neopteryx frosti
Pteralopex anceps
Pteralopex flanneryi
Pteralopex atrata
Pteralopex pulchra
Pteralopex taki
Pteropus admiralitatum
Pteropus aldabrensis
Pteropus intermedius
Pteropus aruensis
Pteropus caniceps
Pteropus fundatus
Pteropus macrotis
Pteropus capistratus
Pteropus alecto
Pteropus melanopogon
Pteropus melanotus
Pteropus pselaphon
Pteropus molossinus
Pteropus ocularis
Pteropus pelagicus
Pteropus woodfordi
Pteropus pohlei
Pteropus gilliardorum
Pteropus griseus
Pteropus neohibernicus
Pteropus poliocephalus
Pteropus medius
Pteropus tonganus
Pteropus keyensis
Pteropus ualanus
Pteropus vampyrus
Pteropus mahaganus
Pteropus pumilus
Pteropus scapulatus
Pteropus livingstonii
Pteropus lombocensis
Pteropus lylei
Pteropus rufus
Pteropus cognatus
Pteropus mariannus
Pteropus personatus
Pteropus niger
Pteropus chrysoproctus
Pteropus vetulus
Pteropus ennisae
Pteropus faunulus
Pteropus loochoensis
Pteropus howensis
Pteropus ornatus
Pteropus pelewensis
Pteropus voeltzkowi
Pteropus speciosus
Pteropus rennelli
Pteropus rodricensis
Pteropus dasymallus
Pteropus samoensis
Pteropus seychellensis
Pteropus hypomelanus
Pteropus rayneri
Pteropus conspicillatus
Pteropus temminckii
Pteropus nitendiensis
Pteropus tuberculatus
Pteropus anetianus
Styloctenium mindorensis
Styloctenium wallacei
Casinycteris campomaanensis
Casinycteris argynnis
Eonycteris spelaea
Eonycteris major
Eonycteris robusta
Epomophorus angolensis
Epomophorus anselli
Epomops dobsonii
Epomophorus minimus
Epomophorus labiatus
Epomophorus gambianus
Epomophorus intermedius
Epomophorus grandis
Epomophorus minor
Epomophorus pusillus
Epomophorus crypturus
Epomophorus wahlbergi
Epomops buettikoferi
Epomops franqueti
Hypsignathus monstrosus
Megaloglossus azagnyi
Woermann's bat
Megaloglossus woermanni
Angolan rousette
Lissonycteris angolensis
Myonycteris relicta
Myonycteris torquata
Myonycteris leptodon
Myonycteris brachycephala
Nanonycteris veldkampii
Rousettus celebensis
Plerotes anchietae
Bare-backed rousette
Rousettus spinalatus
Comoro rousette
Rousettus obliviosus
Geoffroy's rousette
Rousettus amplexicaudatus
Leschenault's rousette
Rousettus leschenaultii
Linduan rousette
Rousettus linduensis
Madagascan rousette
Rousettus madagascariensis
Scotonycteris bergmansi
Scotonycteris occidentalis
Scotonycteris zenkeri
Rousettus lanosus
Macroglossus sobrinus
Macroglossus minimus
Melonycteris melanops
Melonycteris fardoulisi
Melonycteris woodfordi
Notopteris macdonaldi
Notopteris neocaledonica
Syconycteris australis
Syconycteris carolinae
Syconycteris hobbit
Craseonycteris thonglongyai
Anthops ornatus
Asellia arabica
Asellia patrizii
Asellia italosomalica
Trident bat
Asellia tridens
Aselliscus dongbacanus
Aselliscus stoliczkanus
Aselliscus tricuspidatus
Coelops frithii
Coelops robinsoni
Doryrhina camerunensis
Doryrhina cyclops
Hipposideros abae
Hipposideros marisae
Hipposideros gentilis
Hipposideros inornatus
Hipposideros cineraceus
Hipposideros beatus
Hipposideros papua
Hipposideros bicolor
Hipposideros macrobullatus
Hipposideros boeadii
Hipposideros doriae
Hipposideros galeritus
Hipposideros coxi
Hipposideros inexpectatus
Hipposideros dyacorum
Hipposideros diadema
Hipposideros ater
Hipposideros megalotis
Hipposideros cervinus
Hipposideros dinops
Hipposideros muscinus
