Myodes rutilus
Myodes shanseius
Myodes smithii
Myodes sikotanensis
Myopus schisticolor
Neodon forresti
Neodon irene
Neodon linzhiensis
Neodon sikimensis
Neofiber alleni
Ondatra zibethicus
Phaiomys leucurus
Phenacomys intermedius
Phenacomys ungava
Proedromys bedfordi
Proedromys liangshanensis
Prometheomys schaposchnikowi
Synaptomys borealis
Synaptomys cooperi
Volemys millicens
Volemys musseri
Nyctomys sumichrasti
Otonyctomys hatti
Ototylomys chiapensis
Ototylomys phyllotis
Tylomys bullaris
Tylomys fulviventer
Tylomys mirae
Tylomys nudicaudus
Tylomys panamensis
Tylomys tumbalensis
Tylomys watsoni
Baiomys brunneus
Baiomys musculus
Baiomys taylori
Habromys chinanteco
Habromys delicatulus
Habromys ixtlani
Habromys lepturus
Habromys lophurus
Habromys schmidlyi
Habromys simulatus
Hodomys alleni
Isthmomys flavidus
Isthmomys pirrensis
Megadontomys cryophilus
Megadontomys nelsoni
Megadontomys thomasi
Nelsonia goldmani
Nelsonia neotomodon
Neotoma albigula
Neotoma angustapalata
Neotoma bryanti
Neotoma chrysomelas
Neotoma devia
Neotoma findleyi
Neotoma floridana
Neotoma goldmani
Neotoma insularis
Neotoma lepida
Neotoma leucodon
Neotoma macrotis
Neotoma magister
Neotoma mexicana
Neotoma micropus
Neotoma nelsoni
Neotoma palatina
Neotoma stephensi
Neotoma phenax
Neotoma cinerea
Neotoma fuscipes
Neotomodon alstoni
Ochrotomys nuttalli
Onychomys arenicola
Onychomys leucogaster
Onychomys torridus
Osgoodomys banderanus
Peromyscus californicus
Peromyscus caniceps
Peromyscus dickeyi
Peromyscus eremicus
Peromyscus eva
Peromyscus fraterculus
Peromyscus guardia
Peromyscus interparietalis
Peromyscus merriami
Peromyscus pembertoni
Peromyscus pseudocrinitus
Peromyscus hooperi
Peromyscus crinitus
Peromyscus arcticus
Peromyscus gambellii
Peromyscus keeni
Peromyscus labecula
Peromyscus maniculatus
Peromyscus melanotis
Peromyscus nesodytes
Peromyscus oreas
Peromyscus polionotus
Peromyscus sejugis
Peromyscus sitkensis
Peromyscus slevini
Peromyscus sonoriensis
Peromyscus gossypinus
Peromyscus leucopus
Peromyscus aztecus
Peromyscus hylocetes
Peromyscus oaxacensis
Peromyscus spicilegus
Peromyscus winkelmanni
Peromyscus beatae
Peromyscus boylii
Peromyscus carletoni
Peromyscus kilpatricki
Peromyscus levipes
Peromyscus madrensis
Peromyscus polius
Peromyscus sagax
Peromyscus schmidlyi
Peromyscus simulus
Peromyscus stephani
Peromyscus attwateri
Peromyscus bullatus
Peromyscus difficilis
Peromyscus gratus
